Rank,Song,Artist,Year,Lyrics
1,careless whisper,wham featuring george michael,1985, time can never mend the careless whisper of a good friend to the heart and mind if your answers kind theres no comfort in the truth pain is all youll find i should have known better yeahi feel so unsure as i take your hand and lead you to the dance floor as the music dies something in your eyes calls to mind a silver screen and all its sad goodbyesim never gonna dance again guilty feet have got no rhythm though its easy to pretend i know youre not a fool i should have known better than to cheat a friend and waste a chance that id been given so im never gonna dance again the way i danced with youtime can never mend the careless whisper of a good friend to the heart and mind if your answers kind theres no comfort in the truth pain is all youll findim never gonna dance again guilty feet have got no rhythm though its easy to pretend i know youre not a fool i should have known better than to cheat a friend and waste a chance that id been given so im never gonna dance again the way i danced with you never without your love what am i without your lovetonight the music seems so loud i wish that we could lose this crowd maybe its better this way wed hurt each other with the things we want to saywe could have been so good together we could have lived this dance forever but now whos gonna dance with me please stayim never gonna dance again guilty feet have got no rhythm though its easy to pretend i know youre not a fool i should have known better than to cheat a friend and waste a chance that id been given so im never gonna dance again the way i danced with younow that youre gone now that youre gone now that youre gone what i did that was so wrong so wrong that you had to leave me alone 
2,like a virgin,madonna,1985, i made it through the wilderness somehow i made it through didnt know how lost i was until i found youi was beat incomplete id been had i was sad and blue but you made me feel yeah you made me feel shiny and newhoo like a virgin touched for the very first time like a virgin when your heart beats next to minegonna give you all my love boy my fear is fading fast been saving it all for you cause only love can lastyoure so fine and youre mine make me strong yeah you make me bold oh your love thawed out yeah your love thawed out what was scared and coldlike a virgin hey touched for the very first time like a virgin with your heartbeat next to minewhoa whoa ah whoayoure so fine and youre mine ill be yours till the end of time cause you made me feel yeah you made me feel ive nothing to hidelike a virgin hey touched for the very first time like a virgin with your heartbeat next to minelike a virgin ooh ooh like a virgin feels so good inside when you hold me and your heart beats and you love meoh oh ooh whoa 
3,wake me up before you gogo,wham,1985, jitterbug jitterbug jitterbug jitterbugyou put the boom boom into my heart you send my soul sky high when your lovin starts jitterbug into my brain goes bang bang bang till my feet do the samebut somethings bugging me something aint right my best friend told me what you did last night left me sleeping in my bed i was dreaming but i shouldve been with you insteadwake me up before you go go dont leave me hanging on like a yoyo wake me up before you go go i dont wanna miss it when you hit that highwake me up before you go go cause im not planning on going solo wake me up before you go go take me dancing tonite i wanna hit that high yeah yeahyou get the gray skies outta my way you make the sun shine brighter than doris day turn a bright spark into a flame my beats per minute never been the samecause youre my lady im your fool makes me crazy when you act so cruel come on baby lets not fight well go dancing and everything will be alrightwake me up before you go go dont leave me hanging on like a yoyo wake me up before you go go i dont wanna miss it when you hit that highwake me up before you go go cause im not planning on going solo wake me up before you go go take me dancing tonite i wanna hit that high yeah yeah yeah babyjitterbug jitterbugcuddle up baby move in tight well go dancing tomorrow night its cold out there but its warm in bed they can dance well stay home insteadjitterbugwake me up before you go go dont leave me hanging on like a yoyo wake me up before you go go i dont wanna miss it when you hit that highwake me up before you go go cause im not planning on going solo wake me up before you go go take me dancing tonitewake me up before you go go dont leave me hanging on like a yoyo wake me up before you go go i dont wanna miss it when you hit that highwake me up before you go go cause im not planning on going solo wake me up before you go go take me dancing toniteyeah 
4,i want to know what love is,foreigner,1985, i gotta take a little time a little time to think things over i better read between the lines in case i need it when im oldernow this mountain i must climb feels like the world upon my shoulders through the clouds i see love shine it keeps me warm as life grows colder    meaning  byamandah   editor    foreigner frontman mick jones said to site ultimate classic rock in an interview that working with the backing choir on i want to know what love is was a    see all   in my life theres been heartache and pain i dont know if i can face it again cant stop now ive traveled so far to change this lonely lifei want to know what love is i want you to show me i want to feel what love is i know you can show meim gonna take a little time a little time to look around me ive got nowhere left to hide it looks like love has finally found mein my life theres been heartache and pain i dont know if i can face it again cant stop now ive traveled so far to change this lonely lifei want to know what love is i want you to show me i want to feel what love is i know you can show me i want to know what love is i want you to show me and i want to feel i want to feel what love is and i know i know you can show melets talk about love i want to know what love is the love that you feel inside i want you to show me and im feeling so much love i want to feel what love is no you just cant hide i know you can show me i want to know what love is lets talk about love i know you can show me i want to feel it too i want to feel what love is i want to feel it too and i know and i know i know you can show me show me love is real yeah i want to know what love is 
5,i feel for you,chaka khan,1985, chaka chaka chaka chaka khan chaka khan chaka khan chaka khan chaka khan let me rock you let me rock you chaka khan let me rock you thats all i wanna do chaka khan let me rock you let me rock you chaka khan let me rock you let me feel for you chaka khan let me tell you what i wanna do do you feel for me the way i feel for you chaka khan let me tell you what i wanna do i wanna love you wanna hug you wanna squeeze you too let me take you in my arms let me fill you with my charms chaka cause you know that im the one to keep you warm chaka ill make you more than just a physical dream i wanna rock you chaka baby cause you make me wanna scream let me rock you rock youbaby baby when i look at you i get a warm feeling inside theres something about the things you do that keeps me satisfiedi wouldnt lie to you baby its mainly a physical thing this feeling that i got for you baby makes me wanna singi feel for you i think i love you i feel for you i think i love youchaka khan let me rock you let me rock you chaka khan let me rock you thats all i wanna do chaka khan let me rock you let me rock you chaka khan let me rock you let me feel for you feel for youbaby baby when i lay with you theres no place id rather be i cant believe cant believe its true the things that you do to mei wouldnt lie to you baby im physically attracted to you this feeling that i got for you baby theres nothing that i wouldnt doi feel for you i think i love you i feel for you i think i love youoh oh oohyes sir one more time say yeah i feel for you i think i love you i feel for you i i i think i love youchaka khan let me rock you let me rock you chaka khan let me rock you thats all i wanna do chaka khan let me rock you let me rock you chaka khan let me rock you let me feel for you chaka khan wont you tell me what you wanna do do you feel for me the way i feel for you chaka khan let me tell you what i wanna do i wanna love you wanna hug you wanna squeeze you too let me take you in my arms let me fill you with my charms chaka cause you know that im the one to keep you warm chaka ill make you more than just a physical dream i wanna rock you chaka baby cause you make me wanna scream feel for youi feel for you feel for you i feel it too feel for you i feel for you feel for youi feel for you i think i love you i feel for you i think i love youi feel for you i think i love you i feel for you i think i love youi feel for you i think i love you i feel for you i think i love youi feel for you 
6,out of touch,daryl hall  john oates,1985,shake it up is all that we know using the bodies up as we go im waking up to fantasy the shades all around arent the colors we used to see broken ice still melts in the sun and times that are broken can often be one again were soul alone and soul really matters to me take a look around youre out of touch im out of time but im out of my head when youre not around youre out of touch im out of time but im out of my head when youre not around reaching out for something to hold looking for a love where the climate is cold manic moves and drowsy dreams living in the middle between the two extremes smoking guns hot to the touch would cool down if we didnt use them so much were soul alone and soul really matters to me too much youre out of touch im out of time but im out of my head when youre not around youre out of touch im out of time but im out of my head when youre not around out of touch youre out of touch im out of time but im out of my head when youre not around youre out of touch im out of time but im out of my head when youre not around youre out of touch im out of time but im out of my head when youre not around youre out of touch im out of time but im out of my head when youre not around youre out of touch time but im out of my head when youre not around youre out of touch im out of time not around youre out of touch im out of time but im out of my head when youre not around youre out of touch yeah im out of time but im out of my head when youre not around youre out of touch im out of time
7,everybody wants to rule the world,tears for fears,1985, welcome to your life theres no turning back even while we sleep we will find you acting on your best behavior turn your back on mother nature evrybody wants to rule the worldits my own desire its my own remorse help me to decide help me make the most of freedom and of pleasure nothing ever lasts forever everybody wants to rule the worldtheres a room where the light wont find you holding hands while the walls come tumbling down when they do ill be right behind you so glad weve almost made it so sad they had to fade it evrybody wants to rule the worldi cant stand this indecision married with a lack of vision everybody wants to rule the world say that youll never never never need it one headline why believe it everybody wants to rule the world 
8,money for nothing,dire straits,1985, i want my mtvnow look at them yoyos thats the way you do it you play the guitar on the mtv that aint workin thats the way you do it money for nothin and your chicks for freenow that aint workin thats the way you do it lemme tell ya them guys aint dumb maybe get a blister on your little finger maybe get a blister on your thumbwe gotta install microwave ovens custom kitchen deliveries we gotta move these refrigerators we gotta move these color tvswe gotta install microwave ovens custom kitchen deliveries we gotta move these refrigerators we gotta move these color tvsi shoulda learned to play the guitar i shoulda learned to play them drums look at that mama she got it stickin in the camera man we could have some funand hes up there whats that hawaiian noises you bangin on the bongos like a chimpanzee oh that aint workin thats the way you do it get your money for nothin get your chicks for freewe gotta install microwave ovens custom kitchen deliveries we gotta move these refrigerators we gotta move these color tvslisten here now that aint workin thats the way to do it you play the guitar on the mtv that aint workin thats the way you do it money for nothin and your chicks for free money for nothin and the chicks for free get your money for nothin and chicks for free money for nothin and the chicks for free i want my i want my mtv money for nothin and the chicks for free 
9,crazy for you,madonna,1985, swaying room as the music starts strangers making the most of the dark two by two their bodies become onei see you through the smokey air cant you feel the weight of my stare youre so close but still a world away what im dying to say is thatim crazy for you touch me once and youll know its true i never wanted anyone like this its all brand new youll feel it in my kiss im crazy for you crazy for youtrying hard to control my heart i walk over to where you are eye to eye we meet no words at allslowly now we begin to move every breath im deeper into you soon we two are standing still in time if you read my mind youll seeim crazy for you touch me once and youll know its true i never wanted anyone like this its all brand new youll feel it in my kiss youll feel it in my kiss because im crazy for you touch me once and youll know its true i never wanted anyone like this its all brand new youll feel it in my kiss im crazy for you crazy for you crazy for you crazy for you its all brand new im crazy for you and you know its true im crazy crazy for you its all brand new im crazy for you and you know its true yeah im crazy for you 
10,take on me,aha,1985, were talking away i dont know what im to say ill say it anyway todays another day to find you shying away ill be coming for your love okaytake on me take on me take me on take on me ill be gone in a day or twoso needless to say im odds and ends ill be stumbling away slowly learning that life is ok say after me its no better to be safe than sorrytake on me take on me take me on take on me ill be gone in a day or twooh the things that you say is it live or just to play my worries away youre all the things ive got to remember youre shying away ill be coming for you anywaytake on me take on me take me on take on me ill be gone in a daytake on me take on me take me on take on me ill be gone take on me in a day 
