Rank,Song,Artist,Year,Lyrics
1,gangstas paradise,coolio featuring lv,1995, as i walk through the valley of the shadow of death i take a look at my life and realize theres none left cause ive been brassing and laughing so long that even my mamma thinks that my mind is gone but i aint never crossed a man that didnt deserve it me be treated like a punk you know thats unheard of you better watch how you talking and where you walking or you and your homies might be lined in chalk i really hate to trip but i gotta lope as they croak i see myself in the pistal smoke fool im the kinda g that little homies want to be like on my knees in the night saying prayers in the street lightthey been spending most their lives living in the gangstas paradise they been spending most their lives living in the gangstas paradise we keep spending most our lives living in the gangstas paradise we keep spending most our lives living in the gangstas paradisethey got the situation they got me facing i cant live a normal life i was raised by the strip so i gotta be down with the hood team too much television watching got me chasing dreams im a educated fool with money on my mind got my ten in my hand and a gleam in my eye im a loped out gangsta set trippin banger and my homies is down so gonna rouse my anger fool death aint nothing but a heart beat away im living life do or die what can i say im twenty three never will i live to see 24 the way things is going i dont knowtell me why are we so blind to see that the ones we hurt are you and methey been spending most their lives living in the gangstas paradise they been spending most their lives living in the gangstas paradise we keep spending most our lives living in the gangstas paradise we keep spending most our lives living in the gangstas paradisepower and the money money and the power minute after minute hour after hour everybodys running but half of them aint looking whats going on in the kitchen but i dont know whats cooking they say ive got to learn but nobodys here to teach me if they cant understand it how can they reach me i guess they cant i guess they wont i guess they front thats why i know my life is out of luck foolthey been spending most their lives living in the gangstas paradise they been spending most their lives living in the gangstas paradise we keep spending most our lives living in the gangstas paradise we keep spending most our lives living in the gangstas paradisetell me why are we so blind to see that the ones we hurt are you and metell me why are we so blind to see that the ones we hurt are you and me 
2,waterfalls,tlc,1995, a lonely mother gazing out of her window staring at a son that she just cant touch if at any time hes in a jam shell be by his side but he doesnt realize he hurts her so much but all the praying just aint helping at all cause he cant seem to keep his self out of trouble so he goes out and he makes his money the best way he know how another body laying cold in the gutter listen to medont go chasing waterfalls please stick to the rivers and the lakes that youre used to i know that youre gonna have it your way or nothing at all but i think youre moving too fastlittle precious has a natural obsession for temptation but he just cant see she give him loving that his body cant handle but all he can say is baby its good to me one day he goes and takes a glimpse in the mirror but he doesnt recognize his own face his health is fading and he doesnt know why three letters took him to his final resting place yall dont hear medont go chasing waterfalls please stick to the rivers and the lakes that youre used to i know that youre gonna have it your way or nothing at all but i think youre moving too fasti seen rainbow yesterday but too many storms have come and gone leavin a trace of not on godgiven ray is it because my life is ten shades of gray i pray all ten fade away seldom praise him for the sunny days and like his promise is true only my faith can undo the many chances i blew to bring my life to anew clear blue and unconditional skies have dried the tears from my eyes no more lonely cries my only bleedin hope is for the folk who cant cope wit such an endurin pain that it keeps em in the pourin rain whos to blame for tootin caine in your own vein what a shame you shoot and aim for someone elses brain you claim the insane and name this day in time for fallin prey to crime i say the system got you victim to your own mind dreams are hopeless aspirations in hopes of comin true believe in yourself the rest is up to me and youdont go chasing waterfalls please stick to the rivers and the lakes that youre used to i know that youre gonna have it your way or nothing at all but i think youre moving too fastdont go chasing waterfalls please stick to the rivers and the lakes that youre used to i know that youre gonna have it your way or nothing at all but i think youre moving too fast 
3,creep,tlc,1995, creep oh ah oh ah oh ah yeah creep oh ah oh ah oh ah yeahcreep oh ah oh ah oh ah yeah creep oh ah oh ah oh ah yeahthe twenty second of loneliness and weve been through so many things i love my man with all honesty but i know hes cheating on me look him in the eyes but all he tells me is lies to keep me nearill never leave him down though i might mess around its only cause i need some affection oh so i creep yeah just creepin on on the down low cept nobody is supposed to know so i creep yeah cause he doesnt know what i do and no attention goes to show ohso i creep the twenty third of loneliness and we dont talk like we used to do now this is pretty strange but im not buggin cause i still feel the same i keep giving loving till the day he pushes me away never go a strayif he knew the things i did he couldnt handle me and i choose to keep him protected oh so i creep yeah just creepin on but ill know cept nobody is supposed to know so i creep yeah cause he doesnt know what i do and no attention goes to show ohso i creep yeah just creepin on but ill know cept nobody is supposed to know so i creep yeah cause he doesnt know what i do and no attention goes to showso i creep oh ah oh ah oh ah yeah so i creep oh ah oh ah oh ah yeah so i creep oh ah oh ah oh ah yeah baby oh ah oh ah oh ah yeahso i creep yeah just creepin on but ill knowso i creep yeah cause he doesnt know what i do and no attention goes to show so i creep yeah just creepin on but ill know so i creep yeah cause he doesnt know what i do so i creep cept nobody is supposed to know 
4,kiss from a rose,seal,1995, there used to be a greying tower alone on the sea you became the light on the dark side of me love remained a drug thats the high and not the pill but did you know that when it snows my eyes become large and the light that you shine can be seenbaby i compare you to a kiss from a rose on the grey ooh the more i get of you the stranger it feels yeah now that your rose is in bloom a light hits the gloom on the greythere is so much a man can tell you so much he can say you remain my power my pleasure my pain baby to me youre like a growing addiction that i cant deny wont you tell me is that healthy baby but did you know that when it snows my eyes become large and the light that you shine can be seenbaby i compare you to a kiss from a rose on the grey ooh the more i get of you the stranger it feels yeah now that your rose is in bloom a light hits the gloom on the greyive been kissed by a rose on the grey ive been kissed by a rose on the grey and if i should fall will it all go away ive been kissed by a rose on the greythere is so much a man can tell you so much he can say you remain my power my pleasure my pain to me youre like a growing addiction that i cant deny wont you tell me is that healthy baby but did you know that when it snows my eyes become large and the light that you shine can be seenbaby i compare you to a kiss from a rose on the grey ooh the more i get of you the stranger it feels yeah now that your rose is in bloom a light hits the gloom on the greyyes i compare you to a kiss from a rose on the grey ooh the more i get of you stranger it feels yeah and now that your rose is in bloom a light hits the gloom on the greynow that your rose is in bloom a light hits the gloom on the grey 
5,on bended knee,boyz ii men,1995, darlin i cant explain where did we lose our way girl its drivin me insane and i know i just need one more chance to prove my love to you if you come back to me i guarantee that ill never let you go can we go back to the days our love was strong can you tell me how a perfect love goes wrong can somebody tell me how you get things back the way it used to be oh god give me the reason im down on bended knees ill never walk again until you come back to me im down on bended kneesdarlin i cant explain where did we lose our way girl its drivin me insane and i know i just need one more chance to prove my love to you if you come back to me i guarantee that ill never let you go can we go back to the days our love was strong can you tell me how a perfect love goes wrong can somebody tell me how you get things back the way it used to be oh god give me the reason im down on bended knees ill never walk again until you come back to me im down on bended kneesgonna swallow my pride say im sorry stop pointing fingers the blame is on me i want a new life and i want it with you if you feel the same dont ever let it go you gotta believe in the spirit of love it can heal all things we wont hurt anymore no i dont believe our loves terminal im down on my knees begging you please come homedarlin i cant explain where did we lose our way girl its drivin me insane and i know i just need one more chance to prove my love to you if you come back to me i guarantee that ill never let you go can we go back to the days our love was strong can you tell me how a perfect love goes wrong can somebody tell me how you get things back the way it used to be oh god give me the reason im down on bended knees ill never walk again until you come back to me im down on bended kneesso many nights i dream of you holding my pillow tight i know i dont need to be alone when i open up my eyes to face reality every moment without you seems like eternity im begging yo begging you come back to medarlin i cant explain where did we lose our way girl its drivin me insane and i know i just need one more chance to prove my love to you if you come back to me i guarantee that ill never let you go can we go back to the days our love was strong can you tell me how a perfect love goes wrong can somebody tell me how you get things back the way it used to be oh god give me the reason im down on bended knees ill never walk again until you come back to me im down on bended knees 
6,another night,real mccoy,1995, another night another dream but always you its like a vision of love that seems to be true another night another dream but always you in the night i dream of love so truejust another night another vision of love you feel joy you feel pain cause nothing will be the same just another night is all that it takes to understand the difference between lovers and fakes so baby i talk talk i talk to you in the night in your dream of love so true i talk talk i talk to you in the night in your dream of love so true in the night in my dreams im in love with you cause you talk to me like lovers do i feel joy i feel pain cause its still the same when the night is gone ill be aloneanother night another dream but always you its like a vision of love that seems to be true another night another dream but always you in the night i dream of love so truejust another night another dream another vision of love with me im here to set you free i am your lover your brother hey sister let me cover your body with my love is with my lovin just another vision of love that seems to be true all we do all the things that only lovers do vision of love that seems to be true all we do all the things that only lovers do in the night in my dreams im in love with you cause you talk to me like lovers do i feel joy i feel pain cause its still the same when the night is gone ill be aloneanother night another dream but always you its like a vision of love that seems to be true another night another dream but always you in the night i dream of love so truei talk talk i talk to you in the night in your dream of love so true i talk talk i talk to you in the night in your dream of love so true in the night in my dreams im in love with you cause you talk to me like lovers do i feel joy i feel pain cause its still the same when the night is gone ill be aloneanother night another dream but always you its like a vision of love that seems to be true another night another dream but always you in the night i dream of love so true 
7,fantasy,mariah carey,1995, oh when you walk by every night talking sweet and looking fine i get kinda hectic inside mmm baby im so into you darling if you only knew all the things that flow through my mindbut its just a sweet sweet fantasy baby when i close my eyes you come and you take me its so deep in my daydreams but its just a sweet sweet fantasy babyimages of rapture creep into me slowly as youre going to my head and my heart beats faster when you take me over time and time and time again    meaning  byamandah   editor    in an interview with live nation tv mariah discussed how she heard tom tom clubs genius of love while at an amusement park and immediately wanted to    see all   but its just a sweet sweet fantasy baby when i close my eyes you come and you take me its so deep in my daydreams but its just a sweet sweet fantasy babysweet sweet fantasy baby when i close my eyes you come and you take me its so deep in my daydreams but its just a sweet sweet fantasy babyim in heaven with my boyfriend my laughing boyfriend theres no beginning and there is no end feels like im dreaming but im not sleepingsweet sweet fantasy baby when i close my eyes you come and you take me its so deep in my daydreams but its just a sweet sweet fantasy babysweet sweet fantasy baby when i close my eyes you come and you take me its so deep in my daydreams but its just a sweet sweet fantasy babysweet sweet fantasy baby sweet sweet fantasy baby 
8,take a bow,madonna,1995, take a bow the night is over this masquerade is getting older light are low the curtains down theres no one here theres no one here theres no one in the crowdsay your lines but do you feel them do you mean what you say when theres no one around no one around watching you watching me one lonely star one lonely star you dont know who you areive always been in love with you always with you i guess youve always known its true you know its true you took my love for granted why oh why the show is over say goodbyesay goodbye bye bye say goodbyemake them laugh it comes so easy when you get to the part where youre breaking my heart breaking my heart hide behind your smile all the world loves a clown just make em smile the whole world loves a clown wish you well i cannot stay you deserve an award for the role that you played role that you played no more masquerade youre one lonely star one lonely star and you dont know who you areive always been in love with you always with you i guess youve always known its true you know its true you took my love for granted why oh why the show is over say goodbyeive always been in love with you always with you i guess youve always known its true you know its true you took my love for granted why oh why the show is over say goodbyesay goodbye bye bye say goodbyeall the world is a stage world is a stage and everyone has their part has their part but how was i to know which way the storyd go how was i to know youd break youd break youd break youd break youd break my heartive always been in love with you ive always been in love with you guess youve always known you took my love for granted why oh why the show is over say goodbyeive always been in love with you always with you i guess youve always known its true you know its true you took my love for granted why oh why the show is over say goodbyesay goodbye bye bye say goodbye say goodbye 
9,dont take it personal just one of dem days,monica,1995, its just one of dem days when i wanna be all alone its just one of dem days when i gotta be all alone its just one of dem days dont take it personal its just one of dem days and you think i treat you wrongi wanna take some time out to think things through i know it always feels like im doing you wrong but im so in love with you so understand that im only in love youre the only one i need so have no thought that i want to leave and baby trust me pleasejust one of dem days that a girl goes through when im angry inside dont want to take it out on to you just one of dem days dont take it personal i just wanna be all alone and you think i treat you wrongdont take it personal baby baby baby baby babyi sit and think about every thing we do and i find myself in misery and that aint cool hey now i really want to be with you the whole way through but the way you make me feel inside keeps me confusedas i swing back mood to mood its not because of you i never want you to be insecure so wont you understand that im only in love youre the only one i need ill be there for you when you need me boy so baby dont you leavejust one of dem days that a girl goes through when im angry inside dont want to take it out on to you just one of dem days dont take it personal i just wanna be all alone and you think i treat you wrongjust one of dem days that a girl goes through when im angry inside i dont want to take it out on you just one of dem days dont take it personal i just wanna be all alone and you think i treat you wrongdont take it personal baby baby baby baby baby dont take it personal yeah dont take it personaljust one of dem days that a girl goes through when im angry inside dont want to take it out on you just one of dem days dont take it personal i just wanna be all alone and you think i treat you wrongdont take it personal baby personal baby personal baby personal baby personal baby personal baby personal baby personal baby 
10,this is how we do it,montell jordan,1995, this is how we do it this is how we do it la ra ra ra ra ra this is how we do itthis is how we do it its friday night and i feel alright the party is here on the west side so i reach for my 40 and i turn it up designated driver take the keys to my truck hit the shore cause im faded honeys in the street say monty yo we made it it feels so good in my hood tonight the summertime skirts and the guys in kani all the gang bangers forgot about the driveby you gotta get your groove on before you go get paid so tip up your cup and throw your hands up and let me hear the party sayim kinda buzzed and its all because this is how we do it south central does it like nobody does this is how we do it to all my neighbors you got much flavor this is how we do it lets flip the track bring the old school back this is how we do itthis is how we do it all hands are in the air and wave them from here to there if youre an og mack or a want tobe player you see the hoods been good to me ever since i was a lowercase g but now im a big g the girls see i got the money a hundreddollar bills yallif you were from where im from then you would know that i gotta get mine in a big black truck you can get yours in a 64whatever it is the partys underway so tip up your cup and throw your hands up and let me hear the party sayim kinda buzzed and its all because this is how we do it south central does it like nobody does this is how we do it to all my neighbors you got much flavor this is how we do it lets flip the track bring the old school back this is how we do itim kinda buzzed and its all because this is how we do it south central does it like nobody does this is how we do it ynv scc this is how we do it ill never come wack on an old school track this is how we do itcheck it out once upon a time in 94 montell made no money and life sure was slow all they said was 68 he stood and people thought the music that he made was good there lived a dj and paul was his name he came up to monty this is what he said you and og are gonna make some cash sell a million records and well make in a dashoh im buzzing because this is how we do it south central does it like nobody does this is how we do it to all my neighbors you got much flavor this is how we do it ill never come wack on an old school track this is how we do itim kinda buzzed its all because this is how we do it south central does it like nobody does this is how we do itoh its party time this is how we do it straight up comin from the west side this is how we do it ogs got the flavor this is how we do it and money doesnt like nobody does it this is how we do it 
